name,label
 Verona Scatter Grey Fabric Corner Sofa                                                        ,Furniture
 Roma Black Leather Recliner 3+2 Sofa Set                                                        ,Furniture
 Roma Black Leather Recliner 2 Seater Sofa                                                        ,Furniture
 Roma Black Leather Recliner 3 Seater Sofa                                                        ,Furniture
 Valencia Grey Fabric Recliner 3+2 Seater Sofa Set                                                        ,Furniture
 Valencia Grey Fabric 2 Seater Recliner Sofa                                                        ,Furniture
 Valencia Grey Fabric 3 Seater Recliner Sofa                                                        ,Furniture
 Valencia Truffle Fabric Recliner 3+2 Seater Sofa Set                                                        ,Furniture
 Valencia Truffle Fabric 2 Seater Recliner Sofa                                                        ,Furniture
 Valencia Truffle Fabric 3 Seater Recliner Sofa                                                        ,Furniture
 Valencia Black Leather Recliner 3+2 Seater Sofa Set                                                        ,Furniture
 Valencia Black Leather 3 Seater Recliner Sofa                                                        ,Furniture
 Valencia Black Leather 2 Seater Recliner Sofa                                                        ,Furniture
 Valencia Black Leather Recliner Armchair                                                        ,Furniture
 Valencia Grey Leather Recliner 3+2 Seater Sofa Set                                                        ,Furniture
 Valencia Grey Leather 3 Seater Recliner Sofa                                                        ,Furniture
 Valencia Grey Leather 2 Seater Recliner Sofa                                                        ,Furniture
 Valencia Grey Leather Recliner Armchair                                                        ,Furniture
 Roma Brown Leather Recliner 3+2 Seater Sofa Set                                                        ,Furniture
 Roma Brown Leather Recliner 3 Seater Sofa                                                        ,Furniture
 Roma Brown Leather Recliner 2 Seater Sofa                                                        ,Furniture
 Valencia Black Leather Electric Recliner Armchair                                                        ,Furniture
 Valencia Brown Leather Recliner Armchair                                                        ,Furniture
 Box Black Leather 3+2 Seater Sofa Set                                                        ,Furniture
 Box Black Leather 3 Seater Sofa                                                        ,Furniture
 Verona Scatter Grey Fabric Corner Sofa                                                        ,Furniture
 Box Black Leather 2 Seater Sofa                                                        ,Furniture
 Box Black Leather Armchair                                                        ,Furniture
 Box Brown Leather 3+2 Seater Sofa Set                                                        ,Furniture
 Box Brown Leather 3 Seater Sofa                                                        ,Furniture
 Box Brown Leather 2 Seater Sofa                                                        ,Furniture
 Box Brown Leather Armchair                                                        ,Furniture
 Ashley Grey Fabric High Back Corner Sofa                                                        ,Furniture
 Ashley Mink Fabric High Back Corner Sofa                                                        ,Furniture
 Dubai High Back Silver Velvet Corner Sofa                                                        ,Furniture
 Chingford Grey Fabric L Shape Corner Sofa                                                        ,Furniture
 Kent Grey Fabric High Back Corner Sofa                                                        ,Furniture
 Kent Grey Fabric High Back 3+2 Seater Sofa Set                                                        ,Furniture
 Kent Grey Fabric High Back 3 Seater Sofa                                                        ,Furniture
 Kent Grey Fabric High Back 2 Seater Sofa                                                        ,Furniture
 Kent Grey Fabric High Back Armchair                                                        ,Furniture
 Kent Orange Velvet High Back Corner Sofa                                                        ,Furniture
 Kent Grey Velvet High Back Corner Sofa                                                        ,Furniture
 Kent Jasper Velvet High Back Corner Sofa                                                        ,Furniture
 Kent Black Velvet High Back Corner Sofa                                                        ,Furniture
 Kent Teal Velvet High Back Corner Sofa                                                        ,Furniture
 Windsor Grey Fabric Scatter Corner Sofa                                                        ,Furniture
 Glimmer Grey Fabric Corner Sofa                                                        ,Furniture
 Verona Scatter Grey Fabric Corner Sofa                                                        ,Furniture
 Verona Scatter Grey Fabric Left Corner Sofa                                                        ,Furniture
